,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6507,MONO CENTRE,ONTARIO,6157000,51938,71098.0,TRY,44.03,-80.02,440156100,-800128010,436.0,2013,2019,2013.0,2019.0,2013.0,2019.0,,
6540,TORONTO CITY,ONTARIO,6158355,31688,71508.0,XTO,43.67,-79.4,434000000,-792400000,112.5,2002,2019,2002.0,2019.0,2002.0,2019.0,2003.0,2006.0
6541,TORONTO CITY CENTRE,ONTARIO,6158359,48549,71265.0,YTZ,43.63,-79.4,433739000,-792346000,76.8,2009,2019,2009.0,2019.0,2010.0,2019.0,,
6553,TORONTO BUTTONVILLE A,ONTARIO,6158409,54239,,YKZ,43.86,-79.37,435139000,-792207000,198.1,2016,2019,2016.0,2019.0,2018.0,2019.0,,
6554,TORONTO BUTTONVILLE A,ONTARIO,6158410,53678,71639.0,YKZ,43.86,-79.37,435139000,-792207000,198.1,2015,2019,2015.0,2019.0,2015.0,2019.0,,
6584,TORONTO CITY CENTRE,ONTARIO,6158667,30247,71265.0,YTZ,43.63,-79.4,433743000,-792342000,76.81,2006,2014,2006.0,2010.0,2006.0,2014.0,2006.0,2006.0
6590,TORONTO INTL A,ONTARIO,6158731,51459,71624.0,YYZ,43.68,-79.63,434036000,-793750000,173.4,2013,2019,2013.0,2019.0,2013.0,2019.0,,
6625,TRENTON AWOS,ONTARIO,6158872,30723,,XTR,44.12,-77.52,440703000,-773108000,86.3,2007,2019,2007.0,2019.0,2018.0,2019.0,,
6638,UXBRIDGE WEST,ONTARIO,6159123,50637,71932.0,TUX,44.1,-79.16,440554000,-790949020,325.0,2012,2019,2012.0,2019.0,2012.0,2019.0,,
6666,SOUTHERN ONTARIO EMERGENCY PORTABLE WEATHER STATION,ONTARIO,615S002,29846,,WOW,43.27,-79.78,431600000,-794700000,0.0,2007,2018,2007.0,2018.0,2018.0,2018.0,,
6704,PA BLAIRHAMPTON GOLF CLUB,ONTARIO,6166400,52730,,Z4N,45.0,-78.66,445949200,-783931900,333.5,2014,2015,2014.0,2015.0,,,,
6705,PETERBOROUGH A,ONTARIO,6166415,48952,71436.0,YPQ,44.23,-78.36,441348000,-782148000,191.4,2010,2019,2010.0,2019.0,2010.0,2019.0,,
6708,PETERBOROUGH AWOS,ONTARIO,6166420,29906,,,44.23,-78.37,441400000,-782200000,191.4,2004,2010,2004.0,2010.0,2004.0,2010.0,2004.0,2006.0
6715,PETERBOROUGH TRENT U,ONTARIO,6166456,43763,71672.0,TPQ,44.35,-78.3,442100000,-781800000,216.0,2005,2019,2005.0,2019.0,2005.0,2019.0,2006.0,2006.0
